PID,age,gender,Evidence,sampling,sparrows,pigeons,owls,ostritches,mice,lizards
2,27,F,Positive,Category,10,10,10,10,0,0
6,18,F,Positive,Category,10,10,10,10,0,0
10,19,F,Positive,Category,9,9,9,8,8,8
14,19,F,Positive,Category,10,10,10,9,8,8
18,19,F,Positive,Category,10,10,10,9,5,4
22,20,F,Positive,Category,8,9,8,4,4,8
26,18,F,Positive,Category,8,7,7,5,3,1
30,18,M,Positive,Category,10,10,10,10,10,10
34,19,M,Positive,Category,10,10,8,5,5,5
38,18,F,Positive,Category,10,4,4,4,4,4
42,18,F,Positive,Category,10,9,9,8,8,8
46,19,F,Positive,Category,10,8,8,9,3,2
50,18,F,Positive,Category,8,8,3,2,0,1
54,18,M,Positive,Category,10,8,8,8,3,4
58,19,M,Positive,Category,9,8,8,7,8,6
62,19,F,Positive,Category,10,10,5,10,7,5
66,30,F,Positive,Category,10,10,10,10,10,8
70,20,M,Positive,Category,10,10,10,10,10,10
74,23,M,Positive,Category,10,10,5,0,10,0
78,19,F,Positive,Category,5,3,0,0,0,0
82,20,M,Positive,Category,10,7,7,3,0,0
86,18,M,Positive,Category,10,2,8,10,4,0
90,19,F,Positive,Category,10,10,2,0,0,0
94,18,F,Positive,Category,7,6,4,3,2,4
98,22,F,Positive,Category,10,5,3,0,0,0
4,18,F,Positive,Property,10,8,2,5,0,0
8,18,F,Positive,Property,9,7,5,1,1,1
12,19,F,Positive,Property,9,8,8,8,7,2
16,18,F,Positive,Property,10,8,8,10,10,10
20,19,M,Positive,Property,10,0,0,0,1,0
24,18,F,Positive,Property,8,0,0,3,0,0
28,18,F,Positive,Property,10,6,8,0,0,0
32,19,M,Positive,Property,7,2,1,0,1,0
36,18,F,Positive,Property,8,5,6,1,0,0
40,18,M,Positive,Property,6,6,7,7,7,7
44,19,M,Positive,Property,9,10,10,9,0,0
48,19,F,Positive,Property,10,10,10,0,2,0
52,18,F,Positive,Property,10,7,8,4,3,5
56,21,M,Positive,Property,9,4,2,0,0,0
60,18,F,Positive,Property,10,10,10,10,6,2
64,18,F,Positive,Property,10,10,3,0,0,0
68,18,M,Positive,Property,10,5,1,2,1,0
72,19,M,Positive,Property,6,4,4,7,7,6
76,18,F,Positive,Property,8,4,7,3,1,1
80,18,F,Positive,Property,5,3,2,2,0,0
84,19,F,Positive,Property,6,3,7,1,0,0
88,18,M,Positive,Property,10,6,2,0,0,0
92,17,F,Positive,Property,9,5,6,7,5,2
96,18,M,Positive,Property,10,7,8,5,0,2
100,20,M,Positive,Property,10,8,5,4,1,1
1,23,Female,Negative,Category,9,9,6,3,1,1
3,19,Female,Negative,Category,8,5,4,7,0,2
5,21,Female,Negative,Category,10,4,1,1,0,0
7,20,Male,Negative,Category,6,5,6,0,4,5
9,20,Female,Negative,Category,9,0,0,0,0,0
11,27,Female,Negative,Category,8,2,3,2,2,3
13,21,Male,Negative,Category,9,2,3,1,7,5
15,21,Female,Negative,Category,10,10,0,0,0,0
17,20,Female,Negative,Category,8,5,2,5,1,1
19,22,Male,Negative,Category,10,7,5,0,0,0
21,23,Female,Negative,Category,8,7,4,4,1,1
23,24,Female,Negative,Category,10,0,0,0,0,0
25,21,Female,Negative,Category,8,5,0,0,0,0
27,22,Male,Negative,Category,10,1,1,0,0,0
29,18,Female,Negative,Category,10,8,3,4,0,0
31,20,Female,Negative,Category,8,3,5,5,1,2
33,20,Female,Negative,Category,9,10,4,2,2,0
35,20,Female,Negative,Category,10,9,9,9,7,8
37,20,Female,Negative,Category,10,4,2,1,0,0
39,28,Female,Negative,Category,10,10,0,0,0,0
41,25,Female,Negative,Category,10,5,5,5,0,0
43,21,Female,Negative,Category,9,10,5,5,0,0
45,20,Female,Negative,Category,10,7,7,0,0,0
47,21,Male,Negative,Category,6,3,1,1,1,1
49,22,Female,Negative,Category,10,4,8,4,1,0
2,21,Male,Negative,Property,8,2,3,0,0,0
4,34,Female,Negative,Property,8,7,9,7,0,0
6,20,Male,Negative,Property,9,8,3,6,1,0
8,20,Female,Negative,Property,10,0,0,0,0,0
10,24,Female,Negative,Property,9,9,7,5,1,1
12,22,Male,Negative,Property,10,4,0,0,1,0
14,24,Female,Negative,Property,10,7,2,4,0,0
16,27,Female,Negative,Property,8,5,1,1,0,0
18,20,Female,Negative,Property,10,6,1,0,3,2
20,24,Female,Negative,Property,10,3,0,0,0,0
22,20,Female,Negative,Property,9,5,7,0,0,0
24,24,Male,Negative,Property,9,4,8,0,9,1
26,21,Female,Negative,Property,10,5,2,2,2,1
28,21,Female,Negative,Property,9,1,1,0,0,0
30,25,Male,Negative,Property,10,10,10,5,5,0
32,28,Male,Negative,Property,10,0,0,0,0,0
34,20,Female,Negative,Property,7,8,10,5,0,3
36,23,Female,Negative,Property,7,0,0,0,0,0
38,20,Male,Negative,Property,8,5,2,1,0,1
40,29,Male,Negative,Property,9,0,1,0,9,2
42,21,Female,Negative,Property,10,0,0,0,0,0
44,21,Male,Negative,Property,10,0,7,0,0,0
46,20,Female,Negative,Property,10,7,2,4,0,0
48,25,Female,Negative,Property,10,7,1,0,0,0
50,20,Female,Negative,Property,9,8,5,4,1,6
