gender,age,language,country,sampling,baserate,turkcode,id,R1,R2,R3,R4,R5,R6,R7
female,42,english,USA,property,large,401591,1,8,8,8,7,4,4,6
female,50,english,USA,property,small,966617,2,10,10,8,7,1,1,1
female,26,English,USA,property,large,573759,3,9,9,4,4,3,2,2
female,42,English,USA,category,small,674497,4,9,9,9,9,8,8,8
male,35,english,USA,category,large,277923,5,9,10,10,10,6,7,4
female,26,English,USA,property,small,581144,6,10,9,5,7,1,1,2
female,35,English ,USA,category,small,444158,7,3,8,7,6,9,1,1
female,35,English,USA,category,small,359903,8,2,2,5,10,10,7,10
male,33,English,USA,property,small,501390,9,5,8,8,2,3,2,1
male,38,English,USA,category,large,163084,10,10,10,7,7,6,6,4
female,50,English,USA,category,large,657542,11,10,10,7,7,7,7,5
male,36,English,USA,property,large,915958,12,2,7,5,8,8,8,9
male,40,English,USA,category,small,458183,13,9,9,9,9,9,9,9
male,36,Tamil,India,property,small,521470,14,4,2,4,10,6,6,10
male,29,english,USA,property,large,239056,15,9,9,9,7,3,2,2
male,27,English,USA,category,large,370004,16,9,9,9,3,2,1,1
male,28,English,USA,category,large,602497,17,9,9,9,8,4,3,3
female,27,English,USA,category,large,173875,18,10,10,10,9,8,9,10
female,54,English,USA,category,large,452681,19,8,10,10,10,10,10,10
male,27,TAMIL,India,property,small,643759,20,1,2,5,4,6,8,10
male,38,English,USA,category,small,491318,21,9,9,9,5,5,5,5
female,41,English,USA,category,small,175425,22,8,9,6,3,4,3,2
male,74,english,USA,property,small,618275,23,7,7,3,6,3,3,2
male,33,English,USA,property,small,943878,24,6,10,8,9,9,10,10
female,40,english,USA,category,large,880522,25,10,10,10,2,1,1,1
male,32,tamil,India,category,large,250153,26,1,4,4,8,9,10,10
male,24,ENGLISH,USA,category,large,160172,27,4,8,6,7,1,1,3
female,32,English,USA,property,large,468554,28,5,5,5,2,2,2,2
female,38,English,USA,property,small,564485,29,3,3,3,3,3,1,1
male,31,English,USA,category,large,284531,30,10,9,9,7,7,5,3
male,32,English,USA,category,large,688168,31,8,7,7,3,5,2,3
male,35,English,USA,category,large,268928,32,10,9,9,4,3,3,3
female,53,English,USA,category,large,927292,33,10,10,10,10,10,9,9
female,35,English,USA,category,large,962081,34,10,10,7,6,4,4,4
male,32,English,USA,category,small,726122,35,7,8,8,4,5,5,5
male,25,english,USA,category,small,591019,36,9,8,8,4,6,4,9
male,33,english,USA,category,small,218573,37,9,8,6,4,2,2,1
female,31,English,USA,property,large,705153,38,10,10,10,5,1,1,1
male,34,english,USA,property,large,330154,39,1,1,9,6,6,6,1
female,43,English,USA,property,large,357980,40,10,10,10,7,2,5,1
male,33,english,USA,property,large,651151,41,9,8,6,4,2,2,1
female,36,English,USA,property,small,814629,42,9,8,8,8,3,3,3
male,32,English,USA,category,large,217379,43,5,10,10,10,10,5,5
female,29,English,USA,category,large,671944,44,9,8,8,7,7,7,7
male,36,English,USA,property,small,450690,45,9,9,2,1,1,1,1
female,37,Indonesian,USA,property,large,447373,46,6,8,7,5,7,5,5
male,27,English,USA,category,small,180664,47,7,9,8,9,9,9,8
male,29,english,USA,category,small,301959,48,3,3,6,8,7,7,5
male,25,English,USA,property,small,496933,49,6,8,6,7,6,7,7
male,32,English,USA,category,small,860208,50,9,9,7,5,5,5,5
female,57,English,USA,property,large,746248,51,3,10,10,10,4,1,1
female,19,English,USA,property,large,130056,52,10,7,6,2,1,2,1
male,29,English,USA,property,small,247298,53,9,9,10,10,3,3,3
male,30,english,USA,property,large,573298,54,10,10,10,10,10,10,10
female,24,english,USA,category,large,834997,55,10,10,5,1,1,1,1
male,50,english,USA,property,small,824216,56,9,8,9,8,6,6,5
male,29,english,USA,category,large,105705,57,10,10,10,10,10,10,10
female,38,English,USA,category,small,599900,58,10,10,10,10,10,10,10
male,36,English,USA,category,large,997038,59,10,10,8,7,7,7,7
male,48,American English,USA,property,small,720260,60,10,10,10,2,2,2,1
male,64,English,USA,category,small,433175,61,9,9,9,8,8,7,8
female,50,English,USA,category,large,341420,62,10,10,8,8,6,5,4
male,42,English,Canada,category,large,223126,63,10,9,3,2,1,1,1
male,27,English.,USA,category,large,533547,64,4,4,6,6,8,9,10
female,24,English,USA,property,small,918475,65,3,8,8,2,6,4,6
female,28,Chinese,USA,category,small,735690,66,7,9,5,5,5,5,5
female,30,English,USA,category,small,981041,67,10,4,1,2,1,1,1
male,34,English,USA,category,small,636381,68,9,9,9,5,6,9,6
female,33,English,USA,property,large,795930,69,5,5,5,5,5,5,5
female,59,English,USA,property,large,769309,70,9,8,2,2,1,1,1
female,24,English,USA,property,large,421770,71,2,7,7,8,4,7,9
female,41,english,USA,property,small,987836,72,10,10,10,1,1,1,1
male,28,English,USA,category,large,174772,73,10,10,10,6,3,3,3
male,39,English,USA,property,large,278823,74,9,8,9,6,5,3,3
male,72,English,USA,category,large,877465,75,10,10,8,3,3,3,3
male,34,English,USA,category,large,645072,76,10,9,8,3,3,3,1
male,48,English,USA,property,large,197198,77,6,5,3,2,2,2,1
male,31,English,USA,category,small,790987,78,10,7,7,5,3,2,1
male,41,English,USA,category,small,101337,79,10,10,10,10,6,5,5
male,32,English,India,category,large,853811,80,10,10,8,7,5,3,5
female,71,English,USA,property,small,613657,81,8,9,9,8,6,6,1
