subj_id,gender,age,sampling,baserate,sampling,baserate,Old2,Old3,Old4,Old5,Old6,Old7,Old8,R1,R2,R3,R4,R5,R6,R7,turkcode
1,male,57,category,large,1,1,8,9,7,7,7,7,7,9,10,8,8,8,8,8,712753
6,male,41,category,large,1,1,9,9,9,8,8,8,8,10,10,10,9,9,9,9,587816
8,female,44,category,large,1,1,9,9,7,6,0,0,4,10,10,8,7,1,1,5,878734
9,female,38,category,large,1,1,9,9,9,9,9,9,9,10,10,10,10,10,10,10,705291
12,male,,category,large,1,1,9,9,7,6,6,5,5,10,10,8,7,7,6,6,873937
13,male,50,category,large,1,1,6,2,3,5,4,7,1,7,3,4,6,5,8,2,596017
17,male,23,category,large,1,1,8,7,1,5,2,0,0,9,8,2,6,3,1,1,551012
20,male,30,category,large,1,1,5,6,7,6,7,6,7,6,7,8,7,8,7,8,371456
31,male,34,category,large,1,1,8,8,8,8,8,8,8,9,9,9,9,9,9,9,909612
36,female,30,category,large,1,1,9,9,1,0,0,0,0,10,10,2,1,1,1,1,224725
38,female,38,category,large,1,1,9,8,6,1,0,0,0,10,9,7,2,1,1,1,503307
47,female,25,category,large,1,1,9,4,3,2,0,1,0,10,5,4,3,1,2,1,495239
50,female,33,category,large,1,1,9,8,8,3,1,0,0,10,9,9,4,2,1,1,388279
54,male,30,category,large,1,1,9,9,4,4,0,0,0,10,10,5,5,1,1,1,756962
62,female,28,category,large,1,1,9,8,9,8,9,9,9,10,9,10,9,10,10,10,156069
66,female,42,category,large,1,1,9,9,7,6,6,6,6,10,10,8,7,7,7,7,943257
67,male,33,category,large,1,1,5,6,6,4,4,5,6,6,7,7,5,5,6,7,955597
72,male,43,category,large,1,1,9,9,2,1,1,1,0,10,10,3,2,2,2,1,910634
82,male,23,category,large,1,1,9,9,9,0,0,0,9,10,10,10,1,1,1,10,724728
84,male,32,category,large,1,1,9,9,9,0,0,0,0,10,10,10,1,1,1,1,642061
88,male,42,category,large,1,1,9,9,7,8,6,6,8,10,10,8,9,7,7,9,281545
89,male,39,category,large,1,1,8,8,8,2,3,3,1,9,9,9,3,4,4,2,801333
91,female,54,category,large,1,1,8,8,7,6,6,6,6,9,9,8,7,7,7,7,607659
92,female,30,category,large,1,1,9,9,9,0,0,0,0,10,10,10,1,1,1,1,547158
93,male,22,category,large,1,1,4,7,7,7,4,6,5,5,8,8,8,5,7,6,735073
94,female,32,category,large,1,1,9,9,4,4,3,1,1,10,10,5,5,4,2,2,646472
101,female,41,category,large,1,1,9,8,1,1,0,0,0,10,9,2,2,1,1,1,256308
105,female,31,category,large,1,1,9,9,7,4,2,1,0,10,10,8,5,3,2,1,701752
115,male,54,category,large,1,1,2,4,5,1,1,0,0,3,5,6,2,2,1,1,222366
117,female,38,category,large,1,1,9,9,7,3,4,1,5,10,10,8,4,5,2,6,601871
124,male,35,category,large,1,1,9,9,9,3,0,0,0,10,10,10,4,1,1,1,788103
128,male,26,category,large,1,1,8,6,4,3,1,0,0,9,7,5,4,2,1,1,547039
133,male,46,category,large,1,1,7,7,7,4,4,4,4,8,8,8,5,5,5,5,351106
139,male,50,category,large,1,1,9,8,4,6,1,2,0,10,9,5,7,2,3,1,411174
141,male,22,category,large,1,1,9,9,9,9,9,9,9,10,10,10,10,10,10,10,969886
144,female,29,category,large,1,1,9,9,0,0,1,0,0,10,10,1,1,2,1,1,751965
154,male,19,category,large,1,1,9,9,9,9,9,9,9,10,10,10,10,10,10,10,843872
159,male,36,category,large,1,1,9,9,4,4,1,0,0,10,10,5,5,2,1,1,638303
168,male,39,category,large,1,1,9,9,9,9,9,9,9,10,10,10,10,10,10,10,764769
176,male,19,category,large,1,1,9,9,9,7,7,7,7,10,10,10,8,8,8,8,945461
177,female,51,category,large,1,1,9,9,4,4,4,4,4,10,10,5,5,5,5,5,113104
184,male,31,category,large,1,1,7,7,9,7,5,5,5,8,8,10,8,6,6,6,178649
185,male,42,category,large,1,1,8,8,6,5,4,4,4,9,9,7,6,5,5,5,450049
