test,alpha,sigma,tau,rho,mu,category_positive,property_positive,category_posneg,property_posneg
1,0.22661585770547388,0.6688083437992693,2.8388806095949177,0.008535932432920236,1.2277509832246443,0.9789534087050584,0.582959042345465,0.9023432924963019,0.533831464364026
2,0.22661585770547388,0.6688083437992693,2.8388806095949177,0.008535932432920236,1.2277509832246443,0.9654730509849401,0.47901774608902703,0.6205271333269367,0.26274176697878887
3,0.22661585770547388,0.6688083437992693,2.8388806095949177,0.008535932432920236,1.2277509832246443,0.959194042092541,0.4239968203553626,0.49725986720908555,0.19405629511422157
4,0.22661585770547388,0.6688083437992693,2.8388806095949177,0.008535932432920236,1.2277509832246443,0.9477414981160592,0.37883100307058415,0.3847105614123047,0.14301157159818256
5,0.22661585770547388,0.6688083437992693,2.8388806095949177,0.008535932432920236,1.2277509832246443,0.9326384390669389,0.33898537960310177,0.2923525805400235,0.10915894819922552
6,0.22661585770547388,0.6688083437992693,2.8388806095949177,0.008535932432920236,1.2277509832246443,0.9136995619320856,0.3109661032641604,0.23232950944062333,0.08780951125839771
7,0.22661585770547388,0.6688083437992693,2.8388806095949177,0.008535932432920236,1.2277509832246443,0.8923073807673798,0.28969704506120164,0.21223685673517073,0.08197857570016669
8,0.22661585770547388,0.6688083437992693,2.8388806095949177,0.008535932432920236,1.2277509832246443,0.8647450500744157,0.2760558926401632,0.193553596417427,0.07499241307299674
9,0.22661585770547388,0.6688083437992693,2.8388806095949177,0.008535932432920236,1.2277509832246443,0.8396184496008959,0.26594172913716896,0.1882746142622007,0.07484540410421744
10,0.22661585770547388,0.6688083437992693,2.8388806095949177,0.008535932432920236,1.2277509832246443,0.8141113611180499,0.2631121541042751,0.19477285474179565,0.08381382176062249
