test,alpha,sigma,tau,rho,mu,category_n2,category_n6,category_n12,property_n2,property_n6,property_n12
1,0.6977238968651975,0.36945595822990546,0.8899843899998814,0.022859098995104434,1.4805155836148522,0.8270916969401872,0.8729204231342149,0.9059915535360051,0.7967565086483962,0.807151807186237,0.8144024823371898
2,0.6977238968651975,0.36945595822990546,0.8899843899998814,0.022859098995104434,1.4805155836148522,0.8275025599017064,0.8706672268625675,0.9056360940430607,0.7915999992367229,0.8019145778667511,0.8028179141577354
3,0.6977238968651975,0.36945595822990546,0.8899843899998814,0.022859098995104434,1.4805155836148522,0.8199903965493773,0.8602605288857478,0.8935955994967615,0.7827108540101331,0.7813467713432859,0.777245823174468
4,0.6977238968651975,0.36945595822990546,0.8899843899998814,0.022859098995104434,1.4805155836148522,0.8189537565589673,0.852941210898334,0.8851811347232686,0.7758636303803399,0.7696034057994634,0.7566686419905011
5,0.6977238968651975,0.36945595822990546,0.8899843899998814,0.022859098995104434,1.4805155836148522,0.8138967628433148,0.8433933748579999,0.8732922759297758,0.770703529767141,0.7575491032596933,0.7378716117272736
6,0.6977238968651975,0.36945595822990546,0.8899843899998814,0.022859098995104434,1.4805155836148522,0.8089366344332605,0.833948776464401,0.8571538629613412,0.7648737313854876,0.7447642746491965,0.7195237047909059
7,0.6977238968651975,0.36945595822990546,0.8899843899998814,0.022859098995104434,1.4805155836148522,0.8000520405365398,0.8211453727498444,0.8433086459771449,0.7615115746661564,0.7323669857064705,0.7048091398780763
8,0.6977238968651975,0.36945595822990546,0.8899843899998814,0.022859098995104434,1.4805155836148522,0.7937096511946774,0.8085931172971449,0.8283840036074571,0.7560538058920404,0.7276665149995329,0.7000733013918228
9,0.6977238968651975,0.36945595822990546,0.8899843899998814,0.022859098995104434,1.4805155836148522,0.7902436380202904,0.8003487953295012,0.8142274953339333,0.7554958468356431,0.7277747664309105,0.6954481725716126
10,0.6977238968651975,0.36945595822990546,0.8899843899998814,0.022859098995104434,1.4805155836148522,0.7886927835802513,0.7936725779498837,0.8020447133817891,0.7533934845889692,0.7289204568943761,0.6968387990204307
