test,alpha,alpha_common_scale,alpha_rare_scale,sigma,tau,rho,mu,category_commoncat,category_rarecat,property_commoncat,property_rarecat
1,0.027633554814383385,87.40411514230072,0.014947552232974459,0.15999190090224147,3.2275485044661885,0.0027953179553151133,-1.8126507015082887,0.9402906296940766,0.9414366291108429,0.32845306891661746,0.3167661552555441
2,0.027633554814383385,87.40411514230072,0.014947552232974459,0.15999190090224147,3.2275485044661885,0.0027953179553151133,-1.8126507015082887,0.9406331393546451,0.9408910209755484,0.32787556084305003,0.3110607618229879
3,0.027633554814383385,87.40411514230072,0.014947552232974459,0.15999190090224147,3.2275485044661885,0.0027953179553151133,-1.8126507015082887,0.9370334756376048,0.9362830534033855,0.3262033167606701,0.30692518138151503
4,0.027633554814383385,87.40411514230072,0.014947552232974459,0.15999190090224147,3.2275485044661885,0.0027953179553151133,-1.8126507015082887,0.92993856433664,0.9290195017826806,0.3240766576287451,0.30255326098337504
5,0.027633554814383385,87.40411514230072,0.014947552232974459,0.15999190090224147,3.2275485044661885,0.0027953179553151133,-1.8126507015082887,0.9200450637835711,0.9178226424913435,0.32253200518787417,0.2980676169291091
6,0.027633554814383385,87.40411514230072,0.014947552232974459,0.15999190090224147,3.2275485044661885,0.0027953179553151133,-1.8126507015082887,0.9061692651658116,0.9032920144109166,0.3198521881732508,0.29455431662632464
7,0.027633554814383385,87.40411514230072,0.014947552232974459,0.15999190090224147,3.2275485044661885,0.0027953179553151133,-1.8126507015082887,0.8888726182655405,0.8853540739950646,0.31779538987313094,0.29154349932147255
8,0.027633554814383385,87.40411514230072,0.014947552232974459,0.15999190090224147,3.2275485044661885,0.0027953179553151133,-1.8126507015082887,0.8678148384535365,0.863764718659508,0.3164272703967627,0.2879430871272923
9,0.027633554814383385,87.40411514230072,0.014947552232974459,0.15999190090224147,3.2275485044661885,0.0027953179553151133,-1.8126507015082887,0.8433718535434797,0.8399726023870091,0.3141447313212776,0.2854392900192476
10,0.027633554814383385,87.40411514230072,0.014947552232974459,0.15999190090224147,3.2275485044661885,0.0027953179553151133,-1.8126507015082887,0.8165956792254486,0.8139420817318705,0.3121629790013991,0.28347035955642996
